lambda_infr;V_infr;lambda_red;V_red;lambda_green;V_green;lambda_yellow;V_yellow;lambda_blue;V_blue;lambda_white;V_white
720;2.73;540;0.89;400;1.71;520;2.94;380;14.9;380;15.88
740;6.8;560;2.37;420;3.69;540;7.59;400;35.1;400;54.11
750;11.2;580;5.6;440;9.12;550;12.5;420;75.1;420;107.4
760;16.9;590;7.85;450;13.56;560;22.4;430;103.2;440;139
770;26.7;600;11.67;460;19.8;570;32.6;440;132.6;460;131.7
780;38.8;610;15.58;470;28;580;36.4;450;155.4;480;123.5
790;52.5;620;20.1;480;35.2;590;36.5;460;168.3;500;148.6
800;66.9;630;24.2;490;41.2;600;35;470;169.4;520;191.4
810;80.9;640;26.8;500;44.9;610;31.4;480;158.4;540;216
820;87;650;27;510;46;620;22.2;490;140;560;214
830;85.2;660;25.3;520;43.1;630;11.96;500;113;580;189.9
840;76.4;670;21.7;530;38.3;640;7.58;510;85.5;600;152.1
850;61;680;17.28;540;30.4;650;4.25;530;42.6;620;111.2
860;45;690;12.57;550;23.3;670;1.26;550;17.6;640;76.7
870;29.6;700;8.63;560;16.3;;;570;6.2;660;49.1
880;18.5;710;5.52;570;11.16;;;590;2.4;680;29.8
890;10.82;730;2.43;580;7.46;;;;;700;18
900;6.53;750;0.91;600;3.05;;;;;720;10.68
;;;;620;1.4;;;;;740;6.41
;;;;;;;;;;760;3.96
