I_IR;V_IR;I_Red;V_Red;I_Yellow;V_Yellow;I_Green;V_Green;I_Blue;V_Blue;I_Bianco;V_Bianco;I_ph;V_ph
0.01;0.094;0.01;1.445;0.01;1.653;0.01;2.27;0.01;2.33;0.01;2.42;0.01;0.366
0.02;0.183;0.02;1.477;0.02;1.684;0.02;2.31;0.02;2.38;0.02;2.45;0.02;0.39
0.06;0.46;0.06;1.525;0.04;1.712;0.06;2.39;0.06;2.45;0.06;2.49;0.04;0.416
0.1;0.649;0.1;1.55;0.06;1.729;0.1;2.43;0.1;2.48;0.1;2.5;0.06;0.429
0.2;0.936;0.2;1.578;0.08;1.741;0.2;2.48;0.2;2.52;0.2;2.53;0.1;0.448
0.4;1.175;0.6;1.622;0.1;1.751;0.4;2.52;0.6;2.6;0.6;2.58;0.4;0.504
0.6;1.212;1;1.641;0.2;1.778;0.6;2.58;1;2.65;1;2.61;0.6;0.525
1;1.241;3;1.687;0.4;1.806;1;2.64;3;2.79;3;2.7;1;0.544
3;1.287;5;1.713;0.6;1.822;3;2.8;5;2.87;5;2.76;2;0.577
5;1.305;8;1.744;0.8;1.835;5;2.9;8;2.97;8;2.83;3;0.605
8;1.324;11;1.77;1;1.844;8;3.01;11;3.05;11;2.88;4;0.621
11;1.337;14;1.794;1.5;1.86;11;3.09;14;3.1;14;2.92;5;0.626
14;1.348;17;1.814;2;1.873;14;3.16;17;3.16;17;2.96;8;0.653
17;1.358;20;1.836;3;1.891;17;3.22;20;3.2;20;2.99;11;0.672
20;1.368;;;4;1.906;20;3.26;;;;;14;0.685
;;;;5;1.918;;;;;;;17;0.697
;;;;6;1.93;;;;;;;20;0.708
;;;;7;1.938;;;;;;;;
;;;;8;1.945;;;;;;;;
;;;;9;1.953;;;;;;;;
;;;;10;1.96;;;;;;;;
;;;;11;1.966;;;;;;;;
;;;;12;1.972;;;;;;;;
;;;;13;1.977;;;;;;;;
;;;;14;1.983;;;;;;;;
;;;;15;1.987;;;;;;;;
;;;;16;1.99;;;;;;;;
;;;;17;1.99;;;;;;;;
;;;;18;2;;;;;;;;
;;;;19;2;;;;;;;;
;;;;20;2;;;;;;;;
