I;V_0;V_05;V_30;V_50
0;0,11;0,02;0,02;0,05
1;22,92;22,17;22,65;24,09
2;53,58;52,57;53,42;56,35
3;86,8;85,6;86,8;90,9
4;121;119,5;120,7;126,4
5;155,3;154,1;155,5;162,1
6;190,1;188,7;190,3;197,7
7;223,6;223,4;225,2;233,6
8;254,5;258,6;260;269,7
9;281,8;293,1;294,5;304,6
10;303;327,5;328,7;340
11;319,2;361;362,2;374,8
12;332,1;394,8;395,6;409,5
13;342,6;426,4;428,7;443,3
14;350,9;458,3;459,7;475,5
15;357,4;489,3;490;508
16;363,6;519,7;521;539,9
17;368,8;549;550;570
18;373,3;578,7;579,5;600
19;377,4;608;608;632
20;381;635;638;657
