Wavelength (nm)	T_SILICIO	R_SILICIO
1800	10.58416748	28.93879509
1796	10.66199398	28.8819313
1792	10.73733044	28.89988327
1788	10.81254482	28.94999886
1784	10.8886528	28.98608208
1780	10.96565819	29.01821327
1776	11.03956413	29.04227638
1772	11.11132431	29.05979538
1768	11.18226528	29.07123375
1764	11.25032043	29.08617973
1760	11.31965351	29.09588814
1756	11.38997459	29.10251999
1752	11.46204948	29.11293411
1748	11.53246117	29.12129402
1744	11.60287952	29.13446617
1740	11.67481136	29.14365196
1736	11.74575233	29.15331268
1732	11.81581593	29.16522598
1728	11.88857079	29.16731644
1724	11.95827007	29.17713356
1720	12.02897549	29.1836853
1716	12.10020161	29.1938343
1712	12.17047691	29.20324707
1708	12.24215031	29.21635437
1704	12.31758499	29.22533798
1700	12.39278507	29.23745537
1696	12.47011757	29.24827385
1692	12.55002022	29.2538662
1688	12.63233852	29.25738907
1684	12.71779251	29.26342583
1680	12.8023119	29.26803589
1676	12.89001846	29.26939964
1672	12.9823761	29.26800346
1668	13.07354832	29.27085876
1664	13.1700201	29.26922989
1660	13.2614193	29.26524353
1656	13.3515625	29.25066376
1652	13.44320202	29.23204613
1648	13.53151321	29.21695328
1644	13.61944866	29.20383644
1640	13.7110281	29.20020294
1636	13.80173588	29.19888115
1632	13.8902216	29.19857788
1628	13.98227978	29.20084381
1624	14.07350922	29.21150017
1620	14.16894817	29.21524048
1616	14.26177502	29.22108269
1612	14.35435581	29.22885895
1608	14.44983292	29.23801041
1604	14.54563904	29.24617004
1600	14.63998604	29.25457001
1596	14.73695374	29.25983429
1592	14.83589745	29.26552773
1588	14.93753338	29.27589798
1584	15.03586483	29.28353882
1580	15.1337471	29.29035187
1576	15.23377609	29.29778099
1572	15.33499527	29.30557823
1568	15.4347105	29.31058311
1564	15.54205227	29.3195858
1560	15.64344311	29.32570076
1556	15.74827099	29.33151436
1552	15.8546133	29.34535408
1548	15.95632172	29.3504982
1544	16.06278801	29.35798836
1540	16.16731644	29.36268806
1536	16.26702309	29.3757
1532	16.37554741	29.38315201
1528	16.47916794	29.39205551
1524	16.584095	29.40244293
1520	16.68968391	29.4054718
1516	16.79360962	29.42245865
1512	16.90188789	29.43181229
1508	17.00385857	29.43944931
1504	17.11075401	29.44962883
1500	17.21968269	29.46212006
1496	17.32661057	29.46960449
1492	17.43943787	29.47692108
1488	17.54346848	29.49185944
1484	17.65461731	29.50145149
1480	17.75393105	29.51686859
1476	17.86574364	29.52097321
1472	17.97750854	29.54522514
1468	18.08825111	29.54644012
1464	18.19181061	29.55659676
1460	18.30547714	29.57534599
1456	18.41524124	29.57110596
1452	18.52334976	29.59510612
1448	18.62974548	29.59688759
1444	18.73622704	29.60677528
1440	18.84686089	29.61075211
1436	18.95791626	29.63219643
1432	19.06168747	29.6276474
1428	19.17442322	29.65906525
1424	19.28050804	29.66602516
1420	19.39027786	29.67006302
1416	19.49263763	29.68802071
1412	19.59423637	29.72453117
1408	19.70911217	29.72366905
1404	19.81507874	29.72589111
1400	19.92725182	29.73546791
1396	20.01300049	29.7413063
1392	20.13096428	29.73064613
1388	20.24086761	29.83457565
1384	20.35507774	29.78397369
1380	20.44995499	29.74036217
1376	20.56347275	29.80798149
1372	20.68671608	29.88300896
1368	20.77650833	29.77829742
1364	20.87012482	29.84700394
1360	20.97815895	29.88332939
1356	21.08176041	29.87894821
1352	21.18585777	29.85128784
1348	21.2890625	29.88534927
1344	21.38794708	29.905653
1340	21.49307251	29.91828918
1336	21.59098053	29.9316864
1332	21.68989563	29.94213676
1328	21.78834915	29.95815659
1324	21.88068008	29.97596741
1320	21.97681618	29.98634338
1316	22.06542015	30.00067711
