Wavelength (nm)	T_VETRO	R VETRO
	%T	
1800	90.1654129	8.057408333
1796	90.17140961	8.042943954
1792	90.18011475	8.037349701
1788	90.1840744	8.045378685
1784	90.18387604	8.04923439
1780	90.19087219	8.05854702
1776	90.19855499	8.059904099
1772	90.19910431	8.068198204
1768	90.20346832	8.068695068
1764	90.21386719	8.071393013
1760	90.21629333	8.073935509
1756	90.21185303	8.077439308
1752	90.22108459	8.084416389
1748	90.22306061	8.084834099
1744	90.23054504	8.087052345
1740	90.23094177	8.088775635
1736	90.22031403	8.086503983
1732	90.22920227	8.087957382
1728	90.22992706	8.084666252
1724	90.23001862	8.08423996
1720	90.23246765	8.083307266
1716	90.23130798	8.086847305
1712	90.22350311	8.084136963
1708	90.2518158	8.083011627
1704	90.20193481	8.080429077
1700	90.2602005	8.079792023
1696	90.21109772	8.078777313
1692	90.23376465	8.079539299
1688	90.23468018	8.07790947
1684	90.2288208	8.078529358
1680	90.21564484	8.073278427
1676	90.22103882	8.073493004
1672	90.23498535	8.072077751
1668	90.16236877	8.070334435
1664	90.11026001	8.067827225
1660	90.20079041	8.064500809
1656	90.40479279	8.065199852
1652	90.45294189	8.060733795
1648	90.26855469	8.064490318
1644	90.08707428	8.071233749
1640	89.95800018	8.070516586
1636	89.85993958	8.068614006
1632	89.81169128	8.065086365
1628	89.87932587	8.068203926
1624	89.91625214	8.06791687
1620	90.07735443	8.068785667
1616	90.25033569	8.067316055
1612	90.47057343	8.067444801
1608	90.53604126	8.065331459
1604	90.33422852	8.061318398
1600	89.86715698	8.058009148
1596	89.73538208	8.057039261
1592	90.25095367	8.061195374
1588	90.4719162	8.055508614
1584	89.76692963	8.057770729
1580	89.89517212	8.060711861
1576	90.43554688	8.059179306
1572	89.6890564	8.052771568
1568	90.11037445	8.056706429
1564	90.08155823	8.050557137
1560	89.74689484	8.055999756
1556	90.23297119	8.054102898
1552	89.82701111	8.059334755
1548	90.01098633	8.053302765
1544	90.02281952	8.055546761
1540	89.60179901	8.052271843
1536	90.28710938	8.055583
1532	89.71482849	8.054070473
1528	89.58520508	8.051540375
1524	90.21501923	8.056402206
1520	89.98835754	8.051985741
1516	89.3948822	8.050375938
1512	89.48938751	8.042490005
1508	89.76065063	8.044182777
1504	90.09065247	8.044879913
1500	90.10549164	8.047424316
1496	90.04084778	8.047064781
1492	90.00234222	8.042709351
1488	89.99370575	8.043656349
1484	90.00130463	8.041134834
1480	89.96578979	8.042671204
1476	89.92137146	8.038682938
1472	89.79375458	8.041459084
1468	89.34480286	8.035821915
1464	89.08244324	8.031899452
1460	89.44235229	8.039142609
1456	89.85327911	8.030948639
1452	89.35188293	8.036447525
1448	89.14635468	8.031965256
1444	89.76416779	8.030809402
1440	89.0379715	8.024618149
1436	89.44158936	8.02968502
1432	89.12833405	8.024292946
1428	89.33396149	8.023621559
1424	89.00395966	8.020298004
1420	89.51059723	8.023065567
1416	88.78695679	8.015102386
1412	89.27427673	8.024555206
1408	89.37660217	8.019022942
1404	88.86292267	8.012630463
1400	88.80531311	8.022115707
1396	89.13544464	8.016195297
1392	89.35276031	8.016932487
1388	89.36162567	8.024670601
1384	89.26027679	8.019956589
1380	89.22861481	8.007612228
1376	89.15695953	8.012944221
1372	89.30755615	8.023649216
1368	89.37733459	8.01378727
1364	89.29200745	8.023247719
1360	88.94561768	8.022223473
1356	88.59872437	8.011770248
1352	88.9777298	8.007778168
1348	89.20182037	8.013062477
1344	88.57897186	8.007252693
1340	88.95339203	8.006649017
1336	88.86045074	8.005114555
1332	88.66119385	8.006196022
1328	88.9030304	8.008970261
1324	88.8568573	8.004846573
1320	88.48710632	8.003570557
1316	89.07957458	8.001296997
1312	88.77970886	8.000572205
1308	88.36158752	8.001040459
1304	88.53178406	8.002719879
1300	88.88851166	8.001945496
1296	88.94576263	8.001125336
1292	88.94975281	7.997218609
1288	88.93349457	8.00006485
1284	88.9205246	8.000839233
1280	88.73001862	8.000481606
1276	88.48022461	7.997762203
1272	88.21993256	7.997210503
1268	88.53730011	7.996321678
1264	88.81446075	7.9971838
1260	88.25128937	8.001279831
1256	88.50698853	7.992554188
1252	88.48729706	7.994719028
1248	88.50458527	7.99038887
1244	88.3234787	7.996928692
1240	88.69606018	7.989995956
1236	88.33946228	7.992229939
1232	88.13985443	7.99422121
1228	88.42798615	7.992560863
1224	88.63371277	7.9911623
1220	88.6509552	7.991310596
1216	88.62194061	7.992930889
1212	88.61382294	7.988142014
1208	88.5762558	7.989272118
1204	88.33009338	7.992762566
1200	88.09098816	7.988767624
1196	88.17668152	8.00204277
1192	88.54360962	7.999948502
1188	88.03861237	8.000579834
1184	88.53807831	7.997013092
1180	88.00882721	8.003943443
1176	88.49071503	8.000110626
1172	88.25109863	8.004917145
1168	88.01520538	8.004750252
1164	88.30134583	8.004859924
1160	88.40884399	8.00649929
1156	88.45309448	8.009293556
1152	88.45100403	8.009955406
1148	88.39614105	8.014075279
1144	88.27094269	8.017169952
1140	88.01017761	8.018623352
1136	88.12760162	8.021552086
1132	88.36871338	8.024185181
1128	87.97624969	8.02364254
1124	88.35331726	8.024051666
1120	87.99274445	8.025485992
1116	88.18399811	8.02895546
1112	88.30191803	8.030460358
1108	88.1442337	8.03404808
1104	88.00006866	8.035305023
1100	88.01317596	8.040445328
1096	88.07472229	8.042691231
1092	88.14682007	8.046772003
1088	88.2776947	8.051832199
1084	88.06980133	8.055165291
1080	88.07704926	8.058265686
1076	88.21321869	8.057992935
1072	88.07569122	8.061033249
1068	88.13082886	8.064829826
1064	88.22889709	8.07199955
1060	88.17536926	8.069758415
1056	88.16768646	8.072307587
1052	88.16363525	8.074907303
