
Wavelength	Gen uRb 0°	Gen uRb 5°	Gen uRb 10°	Gen uRb 15°	Gen uRb 20°	Gen uRb 25°	Gen uRb 30°	Gen uRb 35°	Gen uRb 40°	Gen uRb 45°
l	0	5	10	15	20	25	30	35	40	45	
0.3	0.096114	0.096116	0.096139	0.096241	0.096532	0.097189	0.098488	0.10086	0.10496	0.11182	
0.302	0.095869	0.09587	0.095893	0.095996	0.096287	0.096943	0.098243	0.10062	0.10472	0.11158	
0.304	0.095629	0.095631	0.095653	0.095756	0.096047	0.096703	0.098003	0.10038	0.10448	0.11135	
0.306	0.095394	0.095396	0.095419	0.095522	0.095812	0.096469	0.097769	0.10014	0.10425	0.11112	
0.308	0.095165	0.095166	0.095189	0.095292	0.095583	0.096239	0.09754	0.099913	0.10402	0.11089	
0.31	0.09494	0.094942	0.094965	0.095067	0.095358	0.096015	0.097315	0.099689	0.1038	0.11067	
0.312	0.09472	0.094722	0.094745	0.094848	0.095138	0.095795	0.097096	0.09947	0.10358	0.11045	
0.314	0.094505	0.094507	0.09453	0.094632	0.094923	0.09558	0.096881	0.099255	0.10337	0.11024	
0.316	0.094295	0.094296	0.094319	0.094422	0.094713	0.095369	0.09667	0.099045	0.10316	0.11003	
0.318	0.094088	0.09409	0.094113	0.094216	0.094506	0.095163	0.096464	0.098839	0.10295	0.10983	
0.32	0.093886	0.093888	0.093911	0.094014	0.094304	0.094961	0.096262	0.098638	0.10275	0.10963	
0.322	0.093689	0.09369	0.093713	0.093816	0.094107	0.094763	0.096064	0.09844	0.10255	0.10944	
0.324	0.093495	0.093496	0.093519	0.093622	0.093913	0.094569	0.095871	0.098247	0.10236	0.10924	
0.326	0.093305	0.093306	0.093329	0.093432	0.093723	0.09438	0.095681	0.098057	0.10217	0.10906	
0.328	0.093119	0.09312	0.093143	0.093246	0.093537	0.094194	0.095495	0.097871	0.10199	0.10887	
0.33	0.092937	0.092938	0.092961	0.093064	0.093354	0.094011	0.095312	0.097689	0.10181	0.10869	
