Wavelength(um)	0deg	
0.25	0.89533	
0.255	0.89646	
0.26	0.89752	
0.265	0.8985	
0.27	0.89942	
0.275	0.90028	
0.28	0.90109	
0.285	0.90185	
0.29	0.90257	
0.295	0.90325	
0.3	0.90389	
0.305	0.90449	
0.31	0.90506	
0.315	0.9056	
0.32	0.90611	
0.325	0.9066	
0.33	0.90706	
0.335	0.9075	
0.34	0.90792	
0.345	0.90832	
0.35	0.9087	
0.355	0.90907	
0.36	0.90942	
0.365	0.90975	
0.37	0.91007	
0.375	0.91037	
0.38	0.91066	
0.385	0.91094	
0.39	0.91121	
0.395	0.91147	
0.4	0.91172	
0.405	0.91196	
0.41	0.91219	
0.415	0.91241	
0.42	0.91262	
0.425	0.91282	
0.43	0.91302	
0.435	0.91321	
0.44	0.9134	
0.445	0.91357	
0.45	0.91375	
0.455	0.91391	
0.46	0.91407	
0.465	0.91423	
0.47	0.91438	
0.475	0.91452	
0.48	0.91467	
0.485	0.9148	
0.49	0.91494	
0.495	0.91506	
0.5	0.91519	
0.505	0.91531	
0.51	0.91543	
0.515	0.91554	
0.52	0.91565	
0.525	0.91576	
0.53	0.91587	
0.535	0.91597	
0.54	0.91607	
0.545	0.91617	
0.55	0.91626	
0.555	0.91635	
0.56	0.91644	
0.565	0.91653	
0.57	0.91662	
0.575	0.9167	
0.58	0.91678	
0.585	0.91686	
0.59	0.91694	
0.595	0.91701	
0.6	0.91709	
0.605	0.91716	
0.61	0.91723	
0.615	0.9173	
0.62	0.91737	
0.625	0.91743	
0.63	0.9175	
0.635	0.91756	
0.64	0.91763	
0.645	0.91769	
0.65	0.91775	
0.655	0.91781	
0.66	0.91786	
0.665	0.91792	
0.67	0.91797	
0.675	0.91803	
0.68	0.91808	
0.685	0.91813	
0.69	0.91819	
0.695	0.91824	
0.7	0.91829	
0.705	0.91834	
0.71	0.91838	
0.715	0.91843	
0.72	0.91848	
0.725	0.91852	
0.73	0.91857	
0.735	0.91861	
0.74	0.91865	
0.745	0.9187	
0.75	0.91874	
0.755	0.91878	
0.76	0.91882	
0.765	0.91886	
0.77	0.9189	
0.775	0.91894	
0.78	0.91898	
0.785	0.91902	
0.79	0.91906	
0.795	0.91909	
0.8	0.91913	
0.805	0.91917	
0.81	0.9192	
0.815	0.91924	
0.82	0.91927	
0.825	0.91931	
0.83	0.91934	
0.835	0.91937	
0.84	0.91941	
0.845	0.91944	
0.85	0.91947	
0.855	0.91951	
0.86	0.91954	
0.865	0.91957	
0.87	0.9196	
0.875	0.91963	
0.88	0.91966	
0.885	0.91969	
0.89	0.91972	
0.895	0.91975	
0.9	0.91978	
0.905	0.91981	
0.91	0.91984	
0.915	0.91987	
0.92	0.9199	
0.925	0.91992	
0.93	0.91995	
0.935	0.91998	
0.94	0.92001	
0.945	0.92003	
0.95	0.92006	
0.955	0.92009	
0.96	0.92012	
0.965	0.92014	
0.97	0.92017	
0.975	0.92019	
0.98	0.92022	
0.985	0.92025	
0.99	0.92027	
0.995	0.9203	
1	0.92032	
1.005	0.92035	
1.01	0.92037	
1.015	0.9204	
1.02	0.92042	
1.025	0.92045	
1.03	0.92047	
1.035	0.92049	
1.04	0.92052	
1.045	0.92054	
1.05	0.92057	
1.055	0.92059	
1.06	0.92061	
1.065	0.92064	
1.07	0.92066	
1.075	0.92068	
1.08	0.92071	
1.085	0.92073	
1.09	0.92075	
1.095	0.92078	
1.1	0.9208	
1.105	0.92082	
1.11	0.92084	
1.115	0.92087	
1.12	0.92089	
1.125	0.92091	
1.13	0.92093	
1.135	0.92096	
1.14	0.92098	
1.145	0.921	
1.15	0.92102	
1.155	0.92104	
1.16	0.92107	
1.165	0.92109	
1.17	0.92111	
1.175	0.92113	
1.18	0.92115	
1.185	0.92118	
1.19	0.9212	
1.195	0.92122	
1.2	0.92124	
1.205	0.92126	
1.21	0.92128	
1.215	0.9213	
1.22	0.92133	
1.225	0.92135	
1.23	0.92137	
1.235	0.92139	
1.24	0.92141	
1.245	0.92143	
1.25	0.92145	
1.255	0.92147	
1.26	0.92149	
1.265	0.92152	
1.27	0.92154	
1.275	0.92156	
1.28	0.92158	
1.285	0.9216	
1.29	0.92162	
1.295	0.92164	
1.3	0.92166	
1.305	0.92168	
1.31	0.9217	
1.315	0.92172	
1.32	0.92175	
1.325	0.92177	
1.33	0.92179	
1.335	0.92181	
1.34	0.92183	
1.345	0.92185	
1.35	0.92187	
1.355	0.92189	
1.36	0.92191	
