	65	70	75	
250	3.1955	3.3177	3.2682	
255	3.3474	3.4222	3.406	
260	3.594	3.5847	3.6054	
265	3.8107	3.8518	3.855	
270	4.0944	4.0934	4.1358	
275	4.3528	4.3827	4.4048	
280	4.5935	4.603	4.6178	
285	4.7553	4.7534	4.7552	
290	4.7294	4.7292	4.724	
295	4.4765	4.4556	4.4541	
300	4.1562	4.1314	4.1395	
305	3.9121	3.889	3.9055	
310	3.7324	3.7225	3.7251	
315	3.6102	3.5976	3.608	
320	3.5197	3.5042	3.5142	
325	3.4502	3.4373	3.4408	
330	3.3956	3.3801	3.3845	
335	3.3468	3.337	3.3378	
340	3.3166	3.3104	3.3071	
345	3.3081	3.3037	3.299	
350	3.3354	3.3294	3.3262	
355	3.3987	3.3994	3.3937	
360	3.4573	3.4472	3.4483	
365	3.3486	3.2947	3.3219	
370	2.878	2.8548	2.8885	
375	2.3158	2.2563	2.272	
380	1.7796	1.769	1.7785	
385	1.4543	1.4565	1.4569	
390	1.2355	1.2179	1.2343	
395	1.0855	1.0774	1.082	
400	0.96781	0.96363	0.96261	
405	0.87622	0.86149	0.86746	
410	0.80123	0.79277	0.79901	
415	0.74074	0.73198	0.73719	
420	0.69046	0.68459	0.68935	
425	0.64704	0.63848	0.63949	
430	0.6086	0.60472	0.60516	
435	0.57612	0.57231	0.57342	
440	0.54664	0.54422	0.5425	
445	0.51607	0.51157	0.51702	
450	0.49632	0.49235	0.49271	
455	0.47589	0.46947	0.47658	
460	0.4591	0.45276	0.45633	
465	0.44011	0.43489	0.44028	
470	0.42429	0.42005	0.42222	
475	0.41067	0.40558	0.40954	
480	0.39849	0.39077	0.39252	
485	0.38109	0.37932	0.38005	
490	0.36839	0.36556	0.36857	
495	0.3606	0.35417	0.35861	
500	0.34984	0.34495	0.34777	
505	0.33959	0.33419	0.3393	
510	0.33079	0.32677	0.32829	
515	0.32248	0.31861	0.32125	
520	0.31355	0.31051	0.31364	
525	0.30687	0.30276	0.30678	
530	0.30103	0.29528	0.29939	
535	0.29442	0.28885	0.29249	
540	0.2869	0.28246	0.28554	
545	0.27984	0.2789	0.28043	
550	0.27374	0.27206	0.2745	
555	0.2685	0.26627	0.26804	
560	0.26238	0.26062	0.26312	
565	0.25766	0.25534	0.25689	
570	0.25348	0.25073	0.25381	
575	0.24903	0.24631	0.24888	
580	0.24391	0.24036	0.24435	
585	0.24078	0.23793	0.24002	
590	0.23618	0.23404	0.23554	
595	0.23213	0.23044	0.23194	
600	0.22781	0.22565	0.22762	
605	0.2239	0.22228	0.22394	
610	0.21948	0.21778	0.22261	
615	0.21613	0.21561	0.21867	
620	0.2142	0.21111	0.21457	
625	0.2108	0.21006	0.21166	
630	0.2067	0.2062	0.20997	
635	0.20591	0.20348	0.20632	
640	0.2006	0.19931	0.203	
645	0.19798	0.19828	0.20228	
650	0.19555	0.19416	0.19919	
655	0.19297	0.19213	0.19481	
660	0.19125	0.19021	0.19156	
665	0.18877	0.18601	0.1877	
670	0.18648	0.18419	0.18857	
675	0.18277	0.18069	0.18515	
680	0.1809	0.17945	0.18455	
685	0.17791	0.17782	0.18187	
690	0.17503	0.17518	0.17669	
695	0.17465	0.17405	0.17636	
700	0.17076	0.17182	0.17312	
705	0.17044	0.16907	0.17635	
710	0.16894	0.169	0.17092	
