wvl	n
300	1.5796
310	1.5748
320	1.5705
330	1.5666
340	1.5631
350	1.5598
360	1.5569
370	1.5542
380	1.5518
390	1.5495
400	1.5474
410	1.5455
420	1.5437
430	1.542
440	1.5405
450	1.539
460	1.5377
470	1.5364
480	1.5352
490	1.5341
500	1.533
510	1.5321
520	1.5311
530	1.5302
540	1.5294
550	1.5286
560	1.5278
570	1.5271
580	1.5264
590	1.5258
600	1.5251
610	1.5245
620	1.524
630	1.5234
640	1.5229
650	1.5224
660	1.5219
670	1.5214
680	1.521
690	1.5206
700	1.5201
710	1.5197
720	1.5193
730	1.519
740	1.5186
750	1.5182
760	1.5179
770	1.5176
780	1.5172
790	1.5169
800	1.5166
810	1.5163
820	1.516
830	1.5157
840	1.5154
850	1.5152
860	1.5149
870	1.5146
880	1.5144
890	1.5141
900	1.5139
910	1.5136
920	1.5134
930	1.5132
940	1.5129
950	1.5127
960	1.5125
970	1.5123
980	1.512
990	1.5118
1000	1.5116
1010	1.5114
1020	1.5112
1030	1.511
1040	1.5108
1050	1.5106
1060	1.5104
1070	1.5102
1080	1.51
1090	1.5098
1100	1.5096
1110	1.5094
1120	1.5092
1130	1.509
1140	1.5088
1150	1.5087
1160	1.5085
1170	1.5083
1180	1.5081
1190	1.5079
1200	1.5077
1210	1.5076
1220	1.5074
1230	1.5072
1240	1.507
1250	1.5069
1260	1.5067
1270	1.5065
1280	1.5063
1290	1.5061
1300	1.506
1310	1.5058
1320	1.5056
1330	1.5054
1340	1.5053
1350	1.5051
1360	1.5049
1370	1.5047
1380	1.5046
1390	1.5044
1400	1.5042
1410	1.504
1420	1.5039
1430	1.5037
1440	1.5035
1450	1.5033
1460	1.5032
1470	1.503
1480	1.5028
1490	1.5026
1500	1.5025
1510	1.5023
1520	1.5021
1530	1.5019
1540	1.5018
1550	1.5016
1560	1.5014
1570	1.5012
1580	1.501
1590	1.5009
1600	1.5007
1610	1.5005
1620	1.5003
1630	1.5001
1640	1.5
1650	1.4998
1660	1.4996
1670	1.4994
1680	1.4992
1690	1.499
1700	1.4989
1710	1.4987
1720	1.4985
1730	1.4983
1740	1.4981
1750	1.4979
1760	1.4977
1770	1.4975
1780	1.4974
1790	1.4972
1800	1.497
