	n_Si	k_SI
250	1.2905	3.3177
255	1.2727	3.4222
260	1.3897	3.5847
265	1.4322	3.8518
270	1.5757	4.0934
275	1.8295	4.3827
280	2.183	4.603
285	2.642	4.7534
290	3.1408	4.7292
295	3.626	4.4556
300	3.8529	4.1314
305	3.9424	3.889
310	4.0395	3.7225
315	4.0976	3.5976
320	4.1539	3.5042
325	4.1942	3.4373
330	4.279	3.3801
335	4.3461	3.337
340	4.443	3.3104
345	4.5292	3.3037
350	4.6377	3.3294
355	4.8328	3.3994
360	5.164	3.4472
365	5.632	3.2947
370	6.1238	2.8548
375	6.2569	2.2563
380	6.1421	1.769
385	5.9518	1.4565
390	5.7603	1.2179
395	5.59	1.0774
400	5.4427	0.96363
405	5.3176	0.86149
410	5.1985	0.79277
415	5.0973	0.73198
420	5.0096	0.68459
425	4.931	0.63848
430	4.8555	0.60472
435	4.7897	0.57231
440	4.7285	0.54422
445	4.671	0.51157
450	4.6238	0.49235
455	4.5751	0.46947
460	4.5285	0.45276
465	4.4902	0.43489
470	4.4521	0.42005
475	4.4147	0.40558
480	4.3803	0.39077
485	4.3467	0.37932
490	4.3162	0.36556
495	4.2881	0.35417
500	4.262	0.34495
505	4.2364	0.33419
510	4.2117	0.32677
515	4.1891	0.31861
520	4.1675	0.31051
525	4.1458	0.30276
530	4.1256	0.29528
535	4.1065	0.28885
540	4.0891	0.28246
545	4.07	0.2789
550	4.0534	0.27206
555	4.0384	0.26627
560	4.0223	0.26062
565	4.0079	0.25534
570	3.9941	0.25073
575	3.9797	0.24631
580	3.9669	0.24036
585	3.9549	0.23793
590	3.9422	0.23404
595	3.9319	0.23044
600	3.9191	0.22565
605	3.9077	0.22228
610	3.8964	0.21778
615	3.887	0.21561
620	3.8758	0.21111
625	3.8672	0.21006
630	3.858	0.2062
635	3.8505	0.20348
640	3.8404	0.19931
645	3.8328	0.19828
650	3.8247	0.19416
655	3.8182	0.19213
660	3.8104	0.19021
665	3.803	0.18601
670	3.7962	0.18419
675	3.7892	0.18069
680	3.7825	0.17945
685	3.7758	0.17782
690	3.7702	0.17518
695	3.7632	0.17405
700	3.7573	0.17182
705	3.7512	0.16907
710	3.7441	0.169
715	3.74	0.16433
720	3.7372	0.1655
725	3.73	0.16341
730	3.7239	0.16242
735	3.7202	0.16148
740	3.715	0.15534
745	3.711	0.15393
750	3.706	0.1524
755	3.7018	0.15083
760	3.6974	0.14946
765	3.6934	0.14828
770	3.6882	0.14644
775	3.685	0.14483
780	3.6813	0.14336
785	3.6775	0.14319
790	3.6738	0.13863
795	3.6697	0.13981
800	3.6661	0.13846
805	3.6626	0.13626
810	3.6594	0.13539
815	3.656	0.13393
820	3.6525	0.13211
825	3.65	0.13136
830	3.6473	0.13056
835	3.644	0.12895
840	3.6402	0.12723
845	3.6372	0.1256
850	3.6341	0.12379
855	3.6309	0.12433
860	3.6279	0.12358
865	3.6261	0.12198
870	3.6226	0.12104
875	3.6219	0.12027
880	3.6188	0.11828
885	3.6171	0.11825
890	3.614	0.11708
895	3.6112	0.11625
900	3.6093	0.11516
905	3.6069	0.11407
910	3.6049	0.11377
915	3.6019	0.11203
920	3.6002	0.11175
925	3.598	0.11101
930	3.596	0.10964
935	3.5932	0.10874
940	3.5915	0.10784
945	3.5899	0.10681
950	3.5875	0.10608
955	3.5857	0.10499
960	3.5835	0.10469
965	3.5815	0.1042
970	3.5796	0.10413
975	3.5777	0.10294
980	3.5759	0.10223
985	3.5745	0.10144
990	3.5725	0.10071
995	3.5705	0.10039
1000	3.5684	0.10058
1005	3.5667	0.098604
1010	3.5649	0.09792
1015	3.5631	0.096332
1020	3.5614	0.097068
1025	3.5596	0.09548
1030	3.5581	0.095212
1035	3.5565	0.095461
1040	3.5546	0.093034
1045	3.5515	0.093312
1050	3.5509	0.093007
1055	3.5547	0.092601
1060	3.5534	0.093996
1065	3.5519	0.092206
1070	3.5504	0.091451
1075	3.5496	0.090954
1080	3.5488	0.090636
1085	3.5474	0.090808
1090	3.546	0.090467
1095	3.5454	0.088713
1100	3.5443	0.088331
1105	3.5426	0.088167
1110	3.5416	0.087766
1115	3.5409	0.086478
1120	3.54	0.086142
1125	3.5393	0.086008
1130	3.5377	0.085895
1135	3.5365	0.083866
1140	3.5356	0.085825
1145	3.5344	0.085717
1150	3.5323	0.08328
1155	3.532	0.083812
1160	3.5319	0.083341
1165	3.5303	0.082954
1170	3.5292	0.082529
1175	3.528	0.08213
1180	3.5276	0.081461
1185	3.5268	0.081159
1190	3.5257	0.082318
1195	3.5252	0.080576
1200	3.5242	0.080487
1205	3.5224	0.079271
1210	3.5225	0.078833
1215	3.5215	0.079226
1220	3.5215	0.079026
1225	3.52	0.077834
1230	3.5196	0.077811
1235	3.5185	0.077656
1240	3.5178	0.076967
1245	3.5175	0.077015
1250	3.517	0.077441
1255	3.5159	0.077335
1260	3.5151	0.075978
1265	3.5141	0.075379
1270	3.5141	0.075839
1275	3.5136	0.074996
1280	3.5126	0.074973
1285	3.5116	0.07393
1290	3.511	0.07429
1295	3.5112	0.073811
1300	3.5102	0.073141
1305	3.5098	0.071898
1310	3.5094	0.074431
1315	3.5085	0.07341
1320	3.5072	0.071734
1325	3.507	0.07246
1330	3.5062	0.072944
1335	3.506	0.072435
1340	3.5055	0.071869
1345	3.5049	0.071359
1350	3.5049	0.073597
1355	3.5042	0.070245
1360	3.5032	0.071253
1365	3.5022	0.069049
1370	3.5025	0.069
1375	3.5021	0.06988
1380	3.5007	0.068688
1385	3.5011	0.068942
1390	3.501	0.069506
1395	3.4989	0.06739
1400	3.4993	0.067806
1405	3.499	0.067228
1410	3.4976	0.067308
1415	3.4976	0.066924
1420	3.4965	0.066401
1425	3.4971	0.067327
1430	3.4966	0.066036
1435	3.4957	0.064641
1440	3.4952	0.065853
1445	3.4944	0.065687
1450	3.4943	0.064749
1455	3.4936	0.065736
1460	3.4936	0.065393
1465	3.4925	0.06483
1470	3.4925	0.06395
1475	3.4918	0.063881
1480	3.4919	0.063631
1485	3.4919	0.064139
1490	3.4914	0.063799
1495	3.4904	0.063109
1500	3.4909	0.06286
1505	3.4903	0.062949
1510	3.4893	0.061342
1515	3.489	0.061098
1520	3.4882	0.061649
1525	3.4885	0.061244
1530	3.4874	0.060015
1535	3.4873	0.061136
1540	3.4873	0.060346
1545	3.4867	0.061344
1550	3.4859	0.060599
1555	3.4856	0.059504
1560	3.4852	0.060241
1565	3.4848	0.060794
1570	3.4839	0.060119
1575	3.4837	0.05911
1580	3.4839	0.059089
1585	3.4846	0.058523
1590	3.4842	0.059548
1595	3.483	0.057852
1600	3.4826	0.058437
1605	3.4812	0.057524
1610	3.4805	0.058403
1615	3.4804	0.057828
1620	3.4803	0.056668
1625	3.4795	0.058396
1630	3.4795	0.058319
1635	3.4794	0.056755
