wvl	n	k	
0.29	1.585	6.1616e-012	
0.3	1.5796	3.1801e-012	
0.31	1.5748	1.6998e-012	
0.32	1.5705	9.3856e-013	
0.33	1.5666	5.3405e-013	
0.34	1.5631	3.125e-013	
0.35	1.5598	1.8767e-013	
0.36	1.5569	1.1546e-013	
0.37	1.5542	7.266e-014	
0.38	1.5518	4.6698e-014	
0.39	1.5495	3.0609e-014	
0.4	1.5474	2.0437e-014	
0.41	1.5455	1.3883e-014	
0.42	1.5437	9.5847e-015	
0.43	1.542	6.7189e-015	
0.44	1.5405	4.778e-015	
0.45	1.539	3.4439e-015	
0.46	1.5377	2.5141e-015	
0.47	1.5364	1.8574e-015	
0.48	1.5352	1.388e-015	
0.49	1.5341	1.0483e-015	
0.5	1.533	7.9986e-016	
0.51	1.5321	6.1619e-016	
0.52	1.5311	4.7904e-016	
0.53	1.5302	3.7565e-016	
0.54	1.5294	2.97e-016	
0.55	1.5286	2.3666e-016	
0.56	1.5278	1.8999e-016	
0.57	1.5271	1.536e-016	
0.58	1.5264	1.2502e-016	
0.59	1.5258	1.0242e-016	
0.6	1.5251	8.4418e-017	
0.61	1.5245	6.9989e-017	
0.62	1.524	5.8352e-017	
0.63	1.5234	4.8911e-017	
0.64	1.5229	4.1208e-017	
0.65	1.5224	3.4888e-017	
0.66	1.5219	2.9677e-017	
0.67	1.5214	2.5358e-017	
0.68	1.521	2.1762e-017	
0.69	1.5206	1.8753e-017	
0.7	1.5201	1.6224e-017	
0.71	1.5197	1.409e-017	
0.72	1.5193	1.2282e-017	
0.73	1.519	1.0744e-017	
0.74	1.5186	9.4299e-018	
0.75	1.5182	8.304e-018	
0.76	1.5179	7.3356e-018	
0.77	1.5176	6.4999e-018	
0.78	1.5172	5.7762e-018	
0.79	1.5169	5.1476e-018	
0.8	1.5166	4.5999e-018	
0.81	1.5163	4.1213e-018	
0.82	1.516	3.7018e-018	
0.83	1.5157	3.3332e-018	
0.84	1.5154	3.0084e-018	
0.85	1.5152	2.7215e-018	
0.86	1.5149	2.4674e-018	
0.87	1.5146	2.2418e-018	
0.88	1.5144	2.0411e-018	
0.89	1.5141	1.8621e-018	
0.9	1.5139	1.702e-018	
0.91	1.5136	1.5587e-018	
0.92	1.5134	1.43e-018	
0.93	1.5132	1.3143e-018	
0.94	1.5129	1.21e-018	
0.95	1.5127	1.1158e-018	
0.96	1.5125	1.0307e-018	
0.97	1.5123	9.5349e-019	
0.98	1.512	8.8343e-019	
0.99	1.5118	8.1972e-019	
1	1.5116	7.617e-019	
1.01	1.5114	7.0878e-019	
1.02	1.5112	6.6042e-019	
1.03	1.511	6.1617e-019	
1.04	1.5108	5.7563e-019	
1.05	1.5106	5.3842e-019	
1.06	1.5104	5.0423e-019	
1.07	1.5102	4.7276e-019	
1.08	1.51	4.4377e-019	
1.09	1.5098	4.1702e-019	
1.1	1.5096	3.9231e-019	
1.11	1.5094	3.6946e-019	
1.12	1.5092	3.4829e-019	
1.13	1.509	3.2867e-019	
1.14	1.5088	3.1046e-019	
1.15	1.5087	2.9354e-019	
1.16	1.5085	2.778e-019	
1.17	1.5083	2.6314e-019	
1.18	1.5081	2.4948e-019	
1.19	1.5079	2.3673e-019	
1.2	1.5077	2.2482e-019	
1.21	1.5076	2.1369e-019	
1.22	1.5074	2.0327e-019	
1.23	1.5072	1.9351e-019	
1.24	1.507	1.8436e-019	
1.25	1.5069	1.7578e-019	
1.26	1.5067	1.6772e-019	
1.27	1.5065	1.6014e-019	
1.28	1.5063	1.5302e-019	
1.29	1.5061	1.4631e-019	
1.3	1.506	1.3998e-019	
1.31	1.5058	1.3402e-019	
1.32	1.5056	1.284e-019	
1.33	1.5054	1.2308e-019	
1.34	1.5053	1.1806e-019	
1.35	1.5051	1.1332e-019	
1.36	1.5049	1.0882e-019	
1.37	1.5047	1.0457e-019	
1.38	1.5046	1.0054e-019	
1.39	1.5044	9.6713e-020	
1.4	1.5042	9.3086e-020	
1.41	1.504	8.9641e-020	
1.42	1.5039	8.6369e-020	
1.43	1.5037	8.3258e-020	
1.44	1.5035	8.03e-020	
1.45	1.5033	7.7484e-020	
1.46	1.5032	7.4802e-020	
1.47	1.503	7.2247e-020	
1.48	1.5028	6.9811e-020	
1.49	1.5026	6.7488e-020	
1.5	1.5025	6.527e-020	
1.51	1.5023	6.3153e-020	
1.52	1.5021	6.113e-020	
1.53	1.5019	5.9197e-020	
1.54	1.5018	5.7348e-020	
1.55	1.5016	5.5579e-020	
1.56	1.5014	5.3886e-020	
1.57	1.5012	5.2265e-020	
1.58	1.501	5.0711e-020	
1.59	1.5009	4.9222e-020	
1.6	1.5007	4.7795e-020	
1.61	1.5005	4.6425e-020	
1.62	1.5003	4.511e-020	
1.63	1.5001	4.3848e-020	
1.64	1.5	4.2635e-020	
1.65	1.4998	4.147e-020	
1.66	1.4996	4.0349e-020	
1.67	1.4994	3.9272e-020	
1.68	1.4992	3.8236e-020	
1.69	1.499	3.7238e-020	
1.7	1.4989	3.6277e-020	
1.71	1.4987	3.5352e-020	
1.72	1.4985	3.4461e-020	
1.73	1.4983	3.3602e-020	
1.74	1.4981	3.2773e-020	
1.75	1.4979	3.1974e-020	
1.76	1.4977	3.1203e-020	
1.77	1.4975	3.0459e-020	
1.78	1.4974	2.9741e-020	
1.79	1.4972	2.9047e-020	
1.8	1.497	2.8376e-020	
