lambda;Base_V_T;Vetro_T;Base_V_R;Vetro_R;Base_Si;Si_R
380;7.5;6.8;7.5;1.2;7.5;4.4
390;10;9.1;10;1.6;10.4;5.8
400;13.3;12.1;13.3;1.8;14;7.6
410;18.9;17.2;18.9;2.2;20;10.5
420;23.2;21.2;23.2;2.6;25;12.6
430;30.9;28;30.9;3.2;30.9;14.9
440;38.5;35;38.5;3.8;38.5;17.7
450;46.7;42.4;46.7;4.4;46.7;21.1
460;55.5;50.4;55.5;5;55.5;24.2
470;65.5;59.5;65.5;5.8;65.5;27.6
480;76.3;68.8;76.3;6.5;76.3;31
490;86.3;79.3;86.3;7.3;86.3;34.5
500;97.7;89;97.7;8.2;97.7;38.2
510;110.4;100.6;110.4;9.1;110.4;41.5
520;120.7;110.8;120.7;10;120.7;44.9
530;131.9;121;131.9;10.7;131.9;47.9
540;143.9;131.3;143.9;11.5;143.9;51
550;153.2;140.8;153.2;12.1;153.2;54
560;163.3;149.7;163.3;12.7;163.3;56.2
570;171.7;156.7;171.7;13.3;171.7;58.3
580;179.7;164.8;179.7;13.9;179.7;60.3
590;188.2;171.5;188.2;14.4;188.2;62
600;194.3;177.5;194.3;14.9;194.3;63.4
610;200.7;182.4;200.7;18.1;200.7;64.6
620;205.3;186.9;205.3;18.4;205.3;65.6
630;209.3;190.7;209.3;18.6;209.3;66.3
640;212.6;193.7;212.6;18.7;212.6;66.8
650;215.4;195.4;215.4;18.8;215.4;67
660;218.1;197.9;218.1;18.9;218.1;67.2
670;218.6;198.3;218.6;18.9;218.6;67.1
680;219.1;199;219.1;18.9;219.1;66.8
690;218.2;198.3;218.2;18.8;218.2;66.3
700;216.7;196.6;216.7;18.5;216.7;65.5
710;214.8;194.4;214.8;18.3;214.8;64.5
720;213.2;192.7;213.2;18;213.2;63.3
730;210.6;189.6;210.6;17.6;210.6;62.1
740;206.7;186.2;206.7;17.2;206.7;60.8
750;202.4;182.5;202.4;16.9;202.4;59.3
760;198.1;178.8;198.1;16.5;198.1;58
770;193.6;174.2;193.6;16.1;193.6;56.5
780;188.6;169.5;188.6;15.7;188.6;54.8
790;182.7;165.1;182.7;15.4;182.7;53.3
800;176.2;159.5;176.2;15;176.2;51.5
810;172.5;155;172.5;14.4;172.5;49.6
820;163.9;148.4;163.9;14;163.9;47.6
830;159;142.2;159;13.5;159;45.5
840;151.1;136;151.1;12.6;151.1;42.2
850;144;128.4;144;9.9;144;39.3
