V	I	sqrt I [sqrt uA]					
25	0,002	0,04472135955					
25,25	0,006	0,07745966692					
25,5	0,014	0,1183215957					
25,75	0,023	0,1516575089					
26	0,036	0,1897366596					
26,25	0,049	0,2213594362					
26,5	0,066	0,2569046516					
27	0,106	0,3255764119					
27,5	0,157	0,3962322551					
28	0,22	0,469041576					
28,5	0,297	0,5449770637					
29	0,389	0,6236986452					
29,5	0,5	0,7071067812					
30	0,626	0,7912016178					
30,5	0,773	0,8792041856					
31	0,943	0,9710818709					
31,5	1,13	1,063014581					
32	1,336	1,155854662				V_break [V]	24,85009609
